行权价,上涨触发%,下跌触发%,平仓时间,累计盈亏$,交易天数,日均盈亏$
±3,1.75,1.5,10:30,-1004.2,39,-25.75
±3,2.0,2.5,10:30,-1004.2,39,-25.75
±4,2.0,0.75,13:00,-1006.2,39,-25.8
±3,2.25,0.75,10:00,-1007.2,39,-25.83
±3,2.0,0.75,10:00,-1007.2,39,-25.83
±3,2.5,0.75,10:00,-1007.2,39,-25.83
±3,2.0,1.25,10:30,-1008.2,39,-25.85
±3,0.75,0.75,10:00,-1009.2,39,-25.88
±4,0.5,3.75,10:30,-1011.2,39,-25.93
±4,0.5,4.25,10:30,-1011.2,39,-25.93
±4,0.5,3.25,10:30,-1011.2,39,-25.93
±4,0.5,4.5,10:30,-1011.2,39,-25.93
±4,0.5,2.5,10:30,-1011.2,39,-25.93
±4,0.5,4.0,10:30,-1011.2,39,-25.93
±3,1.25,0.75,10:30,-1011.2,39,-25.93
±4,0.5,3.5,10:30,-1011.2,39,-25.93
±4,0.5,3.0,10:30,-1011.2,39,-25.93
±4,0.5,5.0,10:30,-1011.2,39,-25.93
±4,0.5,2.75,10:30,-1011.2,39,-25.93
±4,0.5,4.75,10:30,-1011.2,39,-25.93
±3,1.75,0.75,10:00,-1015.2,39,-26.03
±3,0.75,0.75,14:30,-1016.2,39,-26.06
±3,2.25,1.0,10:30,-1024.2,39,-26.26
±3,0.5,0.75,12:00,-1024.2,39,-26.26
±3,2.5,1.0,10:30,-1024.2,39,-26.26
±4,0.75,2.0,10:30,-1029.2,39,-26.39
±4,2.25,1.25,10:30,-1030.2,39,-26.42
±4,2.5,1.25,10:30,-1030.2,39,-26.42
±4,1.75,1.25,10:30,-1031.2,39,-26.44
±4,0.5,0.75,12:30,-1032.2,39,-26.47
±3,2.0,0.75,13:00,-1039.2,39,-26.65
±3,0.75,1.25,13:30,-1039.2,39,-26.65
±4,0.5,1.25,10:30,-1043.2,39,-26.75
±3,0.5,1.5,10:30,-1045.2,39,-26.8
±4,1.5,0.75,10:00,-1046.2,39,-26.83
±3,1.75,1.0,10:30,-1047.2,39,-26.85
±4,0.5,0.75,14:00,-1049.2,39,-26.9
±4,1.5,0.75,11:00,-1051.2,39,-26.95
±4,2.0,0.75,11:00,-1060.2,39,-27.18
±4,1.5,1.5,10:30,-1067.2,39,-27.36
±3,0.75,0.5,10:30,-1068.2,39,-27.39
±4,1.75,0.5,10:00,-1071.2,39,-27.47
±4,2.25,0.5,10:00,-1071.2,39,-27.47
±4,2.5,0.5,10:00,-1071.2,39,-27.47
±4,2.0,0.5,10:00,-1071.2,39,-27.47
±4,2.25,2.25,10:30,-1075.2,39,-27.57
±4,2.5,2.25,10:30,-1075.2,39,-27.57
±4,1.75,2.25,10:30,-1076.2,39,-27.59
±4,2.0,0.5,10:30,-1076.2,39,-27.59
±4,0.5,0.75,14:30,-1077.2,39,-27.62
±3,2.0,2.25,10:30,-1084.2,39,-27.8
±4,0.5,2.25,10:30,-1088.2,39,-27.9
±3,0.5,1.0,10:30,-1088.2,39,-27.9
±4,2.25,0.75,11:00,-1089.2,39,-27.93
±4,2.5,0.75,11:00,-1089.2,39,-27.93
±4,0.5,0.75,15:00,-1101.2,39,-28.24
±4,0.75,0.5,10:00,-1104.2,39,-28.31
±4,0.75,0.75,15:00,-1106.2,39,-28.36
±4,1.5,1.0,10:30,-1109.2,39,-28.44
±3,2.5,3.0,10:30,-1110.2,39,-28.47
±3,2.5,2.75,10:30,-1110.2,39,-28.47
±3,2.25,3.75,10:30,-1110.2,39,-28.47
±3,2.25,2.75,10:30,-1110.2,39,-28.47
±3,2.25,3.0,10:30,-1110.2,39,-28.47
±3,2.25,3.25,10:30,-1110.2,39,-28.47
±3,2.5,3.5,10:30,-1110.2,39,-28.47
±3,2.5,3.75,10:30,-1110.2,39,-28.47
±3,2.25,4.75,10:30,-1110.2,39,-28.47
±3,2.5,2.5,10:30,-1110.2,39,-28.47
±3,2.5,4.25,10:30,-1110.2,39,-28.47
±3,2.25,4.5,10:30,-1110.2,39,-28.47
±3,2.5,4.75,10:30,-1110.2,39,-28.47
±3,2.5,5.0,10:30,-1110.2,39,-28.47
±3,2.25,4.0,10:30,-1110.2,39,-28.47
±3,2.25,3.5,10:30,-1110.2,39,-28.47
±3,2.5,4.0,10:30,-1110.2,39,-28.47
±3,2.5,3.25,10:30,-1110.2,39,-28.47
±3,2.25,5.0,10:30,-1110.2,39,-28.47
±3,2.5,4.5,10:30,-1110.2,39,-28.47
±3,2.25,4.25,10:30,-1110.2,39,-28.47
±3,2.25,2.5,10:30,-1110.2,39,-28.47
±3,2.25,1.25,10:30,-1114.2,39,-28.57
±3,2.5,1.25,10:30,-1114.2,39,-28.57
±4,1.0,0.75,11:00,-1114.2,39,-28.57
±4,0.75,1.25,13:30,-1117.2,39,-28.65
±4,0.75,0.5,12:00,-1118.2,39,-28.67
±3,4.5,0.75,10:00,-1119.2,39,-28.7
±3,4.25,0.75,10:00,-1119.2,39,-28.7
±3,2.75,0.75,10:00,-1119.2,39,-28.7
±4,0.75,0.5,13:00,-1119.2,39,-28.7
±3,3.25,0.75,10:00,-1119.2,39,-28.7
±3,3.0,0.75,10:00,-1119.2,39,-28.7
±3,3.75,0.75,10:00,-1119.2,39,-28.7
±3,3.5,0.75,10:00,-1119.2,39,-28.7
±3,4.0,0.75,10:00,-1119.2,39,-28.7
±3,4.75,0.75,10:00,-1119.2,39,-28.7
±3,5.0,0.75,10:00,-1119.2,39,-28.7
±3,0.5,0.75,13:00,-1124.2,39,-28.83
±4,1.25,0.75,11:00,-1128.2,39,-28.93
±4,1.0,1.5,10:30,-1130.2,39,-28.98
±3,1.75,4.75,10:30,-1133.2,39,-29.06
±3,1.75,2.75,10:30,-1133.2,39,-29.06
±3,1.75,3.25,10:30,-1133.2,39,-29.06
±3,1.75,4.0,10:30,-1133.2,39,-29.06
±3,1.75,5.0,10:30,-1133.2,39,-29.06
±3,1.75,2.5,10:30,-1133.2,39,-29.06
±3,1.75,3.0,10:30,-1133.2,39,-29.06
±3,1.75,3.75,10:30,-1133.2,39,-29.06
±3,1.75,3.5,10:30,-1133.2,39,-29.06
±3,0.5,0.75,13:30,-1133.2,39,-29.06
±3,1.75,4.5,10:30,-1133.2,39,-29.06
±3,1.75,4.25,10:30,-1133.2,39,-29.06
±4,0.75,0.5,13:30,-1134.2,39,-29.08
±3,1.75,1.25,10:30,-1137.2,39,-29.16
±3,0.75,2.0,10:30,-1140.2,39,-29.24
±3,2.0,0.75,11:00,-1143.2,39,-29.31
±4,0.75,1.75,10:30,-1145.2,39,-29.36
±3,1.5,0.75,11:00,-1147.2,39,-29.42
±4,2.25,1.5,10:00,-1148.2,39,-29.44
±4,1.75,1.5,10:00,-1148.2,39,-29.44
±4,0.75,0.5,14:00,-1148.2,39,-29.44
±4,2.0,1.5,10:00,-1148.2,39,-29.44
±4,2.5,1.5,10:00,-1148.2,39,-29.44
±4,0.75,0.5,12:30,-1150.2,39,-29.49
±4,1.0,0.75,10:00,-1152.2,39,-29.54
±3,0.5,0.75,11:30,-1154.2,39,-29.59
±4,1.5,4.0,10:30,-1155.2,39,-29.62
±4,1.5,3.75,10:30,-1155.2,39,-29.62
±4,1.5,3.5,10:30,-1155.2,39,-29.62
±4,1.5,4.25,10:30,-1155.2,39,-29.62
±4,1.5,4.5,10:30,-1155.2,39,-29.62
±4,1.5,3.25,10:30,-1155.2,39,-29.62
±4,1.5,3.0,10:30,-1155.2,39,-29.62
±4,2.75,1.5,10:30,-1155.2,39,-29.62
±4,1.25,1.5,10:30,-1155.2,39,-29.62
±4,1.5,5.0,10:30,-1155.2,39,-29.62
±4,1.5,4.75,10:30,-1155.2,39,-29.62
±4,3.0,1.5,10:30,-1155.2,39,-29.62
±4,1.5,2.5,10:30,-1155.2,39,-29.62
±4,1.5,2.75,10:30,-1155.2,39,-29.62
±4,3.25,1.5,10:30,-1155.2,39,-29.62
±4,4.25,1.5,10:30,-1155.2,39,-29.62
±4,4.0,1.5,10:30,-1155.2,39,-29.62
±4,3.5,1.5,10:30,-1155.2,39,-29.62
±4,3.75,1.5,10:30,-1155.2,39,-29.62
±4,2.0,2.0,10:30,-1155.2,39,-29.62
±4,5.0,1.5,10:30,-1155.2,39,-29.62
±4,4.5,1.5,10:30,-1155.2,39,-29.62
±4,4.75,1.5,10:30,-1155.2,39,-29.62
±3,0.5,0.75,11:00,-1158.2,39,-29.7
±3,0.5,0.75,10:00,-1162.2,39,-29.8
±3,1.5,1.5,10:30,-1169.2,39,-29.98
±4,1.0,1.0,10:30,-1172.2,39,-30.06
±3,0.5,2.5,10:30,-1174.2,39,-30.11
±3,0.5,3.5,10:30,-1174.2,39,-30.11
±3,0.5,4.0,10:30,-1174.2,39,-30.11
±3,0.5,3.75,10:30,-1174.2,39,-30.11
±3,0.5,4.25,10:30,-1174.2,39,-30.11
±3,0.5,4.75,10:30,-1174.2,39,-30.11
±3,0.5,3.25,10:30,-1174.2,39,-30.11
±3,0.5,2.75,10:30,-1174.2,39,-30.11
±3,0.5,3.0,10:30,-1174.2,39,-30.11
±3,0.5,5.0,10:30,-1174.2,39,-30.11
±3,0.5,4.5,10:30,-1174.2,39,-30.11
±3,0.5,1.25,10:30,-1178.2,39,-30.21
±4,1.75,0.75,11:00,-1180.2,39,-30.26
±4,0.75,1.5,10:00,-1181.2,39,-30.29
±3,0.5,0.75,12:30,-1181.2,39,-30.29
±3,2.25,0.75,11:00,-1184.2,39,-30.36
±3,2.5,0.75,11:00,-1184.2,39,-30.36
±4,1.5,1.25,10:30,-1187.2,39,-30.44
±4,0.75,0.5,11:00,-1187.2,39,-30.44
±4,2.0,0.75,13:30,-1190.2,39,-30.52
±3,2.5,2.25,10:30,-1190.2,39,-30.52
±3,2.25,2.25,10:30,-1190.2,39,-30.52
±3,3.25,1.5,10:30,-1193.2,39,-30.59
±3,3.75,1.5,10:30,-1193.2,39,-30.59
±3,4.0,1.5,10:30,-1193.2,39,-30.59
±3,3.0,1.5,10:30,-1193.2,39,-30.59
±3,4.5,1.5,10:30,-1193.2,39,-30.59
±3,4.75,1.5,10:30,-1193.2,39,-30.59
±3,5.0,1.5,10:30,-1193.2,39,-30.59
±3,4.25,1.5,10:30,-1193.2,39,-30.59
±3,2.75,1.5,10:30,-1193.2,39,-30.59
±3,3.5,1.5,10:30,-1193.2,39,-30.59
±4,3.0,0.5,10:00,-1194.2,39,-30.62
±4,4.5,0.5,10:00,-1194.2,39,-30.62
±4,4.25,0.5,10:00,-1194.2,39,-30.62
±4,4.75,0.5,10:00,-1194.2,39,-30.62
±4,2.75,0.5,10:00,-1194.2,39,-30.62
±4,4.0,0.5,10:00,-1194.2,39,-30.62
±4,3.75,0.5,10:00,-1194.2,39,-30.62
±4,3.5,0.5,10:00,-1194.2,39,-30.62
±4,3.25,0.5,10:00,-1194.2,39,-30.62
±4,5.0,0.5,10:00,-1194.2,39,-30.62
±4,2.25,0.5,10:30,-1195.2,39,-30.65
±4,2.5,0.5,10:30,-1195.2,39,-30.65
±4,1.75,0.75,13:00,-1196.2,39,-30.67
±4,1.25,0.75,10:00,-1196.2,39,-30.67
±4,1.75,0.5,10:30,-1196.2,39,-30.67
