行权价,上涨触发%,下跌触发%,平仓时间,累计盈亏$,交易天数,日均盈亏$
±1,4.5,5.0,10:30,-437.2,39,-11.21
±1,4.5,4.25,10:30,-437.2,39,-11.21
±1,4.5,4.5,10:30,-437.2,39,-11.21
±1,4.5,4.75,10:30,-437.2,39,-11.21
±1,4.5,4.0,10:30,-437.2,39,-11.21
±1,1.0,0.5,14:30,-438.2,39,-11.24
±1,2.25,1.0,10:30,-439.2,39,-11.26
±1,2.75,3.25,10:30,-440.2,39,-11.29
±1,0.5,0.75,12:30,-441.2,39,-11.31
±1,0.75,0.75,10:00,-443.2,39,-11.36
±1,0.5,0.5,13:00,-446.2,39,-11.44
±1,0.75,0.5,10:30,-448.2,39,-11.49
±0.5,3.5,0.75,10:30,-450.2,39,-11.54
±0.5,3.25,0.75,10:30,-450.2,39,-11.54
±1,0.75,0.5,12:30,-451.2,39,-11.57
±1,1.0,0.75,13:30,-453.2,39,-11.62
±1,1.5,0.75,10:30,-453.2,39,-11.62
±1,0.5,0.5,12:30,-453.2,39,-11.62
±1,2.5,1.0,10:30,-454.2,39,-11.65
±1,0.5,0.75,13:30,-456.2,39,-11.7
±1,3.25,1.0,10:00,-456.2,39,-11.7
±1,2.0,1.0,10:30,-456.2,39,-11.7
±1,3.5,1.0,10:00,-456.2,39,-11.7
±1,1.0,0.5,13:00,-457.2,39,-11.72
±1,0.5,0.5,13:30,-457.2,39,-11.72
±1,0.75,0.5,13:30,-458.2,39,-11.75
±1,1.0,0.75,12:30,-458.2,39,-11.75
±1,3.5,2.25,10:30,-458.2,39,-11.75
±1,3.25,2.25,10:30,-458.2,39,-11.75
±0.5,2.75,0.75,10:30,-459.2,39,-11.77
±1,0.5,0.75,10:30,-459.2,39,-11.77
±1,1.75,3.75,10:30,-459.2,39,-11.77
±0.5,3.5,0.5,10:00,-459.2,39,-11.77
±1,1.0,0.5,12:00,-459.2,39,-11.77
±0.5,3.25,0.5,10:00,-459.2,39,-11.77
±1,1.75,4.0,10:30,-461.2,39,-11.83
±0.5,3.5,0.5,11:00,-461.2,39,-11.83
±1,1.75,5.0,10:30,-461.2,39,-11.83
±1,1.75,4.5,10:30,-461.2,39,-11.83
±1,1.75,4.75,10:30,-461.2,39,-11.83
±1,1.75,4.25,10:30,-461.2,39,-11.83
±1,2.25,0.5,10:00,-462.2,39,-11.85
±1,3.0,0.5,11:00,-463.2,39,-11.88
±1,0.5,0.75,14:30,-465.2,39,-11.93
±0.5,2.25,0.5,10:30,-466.2,39,-11.95
±1,1.25,0.5,15:00,-467.2,39,-11.98
±1,2.75,2.25,10:30,-468.2,39,-12.01
±1,0.75,0.5,11:00,-469.2,39,-12.03
±1,1.25,0.5,10:00,-469.2,39,-12.03
±1,0.5,0.5,11:00,-471.2,39,-12.08
±1,0.5,0.75,15:00,-471.2,39,-12.08
±1,3.0,1.0,10:00,-472.2,39,-12.11
±1,2.25,1.75,10:30,-472.2,39,-12.11
±1,3.75,1.0,10:30,-474.2,39,-12.16
±1,4.5,1.0,10:30,-474.2,39,-12.16
±1,5.0,1.0,10:30,-474.2,39,-12.16
±1,4.25,1.0,10:30,-474.2,39,-12.16
±1,4.75,1.0,10:30,-474.2,39,-12.16
±1,4.0,1.0,10:30,-474.2,39,-12.16
±0.5,3.0,0.5,10:00,-474.2,39,-12.16
±1,3.5,0.75,11:00,-475.2,39,-12.18
±1,0.5,0.5,14:00,-476.2,39,-12.21
±1,1.0,0.5,12:30,-476.2,39,-12.21
±1,2.25,3.5,10:30,-479.2,39,-12.29
±1,2.0,0.5,10:00,-479.2,39,-12.29
±1,1.25,0.75,10:30,-479.2,39,-12.29
±1,0.75,0.5,14:00,-480.2,39,-12.31
±1,1.5,3.75,10:30,-480.2,39,-12.31
±1,5.0,0.75,10:00,-481.2,39,-12.34
±0.5,2.5,0.5,10:30,-481.2,39,-12.34
±1,3.75,0.75,10:00,-481.2,39,-12.34
±1,4.75,0.75,10:00,-481.2,39,-12.34
±1,4.0,0.75,10:00,-481.2,39,-12.34
±1,4.25,0.75,10:00,-481.2,39,-12.34
±1,4.5,0.75,10:00,-481.2,39,-12.34
±1,1.5,4.75,10:30,-482.2,39,-12.36
±1,1.5,4.0,10:30,-482.2,39,-12.36
±1,1.5,5.0,10:30,-482.2,39,-12.36
±1,1.5,4.5,10:30,-482.2,39,-12.36
±1,1.5,4.25,10:30,-482.2,39,-12.36
±1,1.0,0.5,13:30,-483.2,39,-12.39
±0.5,2.25,0.5,11:00,-483.2,39,-12.39
±1,1.25,0.5,14:30,-483.2,39,-12.39
±1,3.0,3.0,10:30,-485.2,39,-12.44
±1,0.75,0.75,14:00,-485.2,39,-12.44
±1,0.5,3.75,10:30,-486.2,39,-12.47
±1,2.5,1.75,10:30,-487.2,39,-12.49
±1,0.5,4.5,10:30,-488.2,39,-12.52
±1,0.5,4.0,10:30,-488.2,39,-12.52
±1,0.5,4.25,10:30,-488.2,39,-12.52
±1,0.5,4.75,10:30,-488.2,39,-12.52
±1,0.5,5.0,10:30,-488.2,39,-12.52
±1,0.75,0.5,11:30,-488.2,39,-12.52
±1,2.0,1.75,10:30,-489.2,39,-12.54
±1,0.5,0.5,11:30,-490.2,39,-12.57
±0.5,2.0,0.5,10:30,-490.2,39,-12.57
±0.5,1.75,0.5,11:00,-492.2,39,-12.62
±1,1.0,0.5,10:30,-492.2,39,-12.62
±1,1.25,0.5,11:30,-493.2,39,-12.65
±1,2.5,3.5,10:30,-494.2,39,-12.67
±1,1.0,0.75,14:00,-494.2,39,-12.67
±1,2.75,0.5,11:00,-496.2,39,-12.72
±0.5,3.25,0.75,10:00,-496.2,39,-12.72
